what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef",1311696968648
started,bundle,org.eclipse.egit.core,0.12.1,"org.eclipse.egit.core",1311696968649
started,bundle,org.eclipse.egit.ui,0.12.1,"org.eclipse.egit.ui",1311696968695
started,bundle,org.eclipse.jgit,0.12.1,"org.eclipse.jgit",1311696968698
started,bundle,com.google.gdt.eclipse.designer,2.3.1.r36x201105061255,"com.google.gdt.eclipse.designer",1311696968709
started,bundle,com.google.gdt.eclipse.designer.GXT,2.3.1.r36x201105061304,"com.google.gdt.eclipse.designer.GXT",1311696968733
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.3.1.r36x201105061304,"com.google.gdt.eclipse.designer.SmartGWT",1311696968744
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.3.1.r36x201105061255,"com.google.gdt.eclipse.designer.UiBinder",1311696968793
started,bundle,com.google.gdt.eclipse.designer.hosted,2.3.1.r36x201105061248,"com.google.gdt.eclipse.designer.hosted",1311696968794
started,bundle,com.google.gdt.eclipse.designer.usageprofiler,2.3.1.r36x201105061304,"com.google.gdt.eclipse.designer.usageprofiler",1311696968796
started,bundle,com.google.gdt.eclipse.designer.usageprofiler.ui,2.3.1.r36x201105061304,"com.google.gdt.eclipse.designer.usageprofiler.ui",1311696968798
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1311696968800
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1311696968802
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1311696968804
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1311696968848
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1311696968850
started,bundle,org.eclipse.wb.core,0.9.0.r36x201105061148,"org.eclipse.wb.core",1311696968874
started,bundle,org.eclipse.wb.core.lib,0.9.0.r36x201105061148,"org.eclipse.wb.core.lib",1311696968883
started,bundle,org.eclipse.wb.core.xml,0.9.0.r36x201105061154,"org.eclipse.wb.core.xml",1311696968900
